Chapter,Policy,Description
"Delivering the Spatial Strategy","Policy SPS11: Basingstoke Leisure Park","Policy SPS11:  Basingstoke Leisure Park

The Basingstoke Leisure Park will be revitalised and modernised as a prime leisure destination, accommodating new and enhanced leisure facilities which support its role as a regional leisure destination. Development proposals will enhance the public realm including through the provision of new and improved open spaces. Development proposals to improve active travel into and through the park will be supported. New buildings must meet the Plan’s climate change policies to support the council’s climate emergency declaration. 

New and improved leisure facilities will be permitted where there is no significant adverse impact on existing town or district centres within Basingstoke. Retail development on the Leisure Park will only be supported where it remains ancillary to the new or existing leisure uses and is required to make the new provision economically viable, without detriment to the borough’s defined retail centres."
"Delivering the Spatial Strategy","Policy SPS12: Chineham Railway Station","Policy SPS12:  Chineham Railway Station

This 1.8 hectare site lies to the North West of Chineham and is safeguarded for the development of a new passenger railway station and associated car parking."
"Protecting and Enhancing the Natural Environment","Policy ENV1: Landscape","Policy ENV1:  Landscape

Development will only be permitted where it can be demonstrated, through a suitable assessment, that the proposals are sympathetic to the character and visual quality of the area concerned. Development proposals must respect, enhance and not be detrimental to the character or visual amenity of the landscape likely to be affected, paying particular regard to:

The particular qualities identified within the council’s landscape character assessment and any subsequent updates or relevant guidance;
The visual amenity and scenic quality;
The setting of a settlement, including important views to, across, within and out of settlements;
The local character of buildings and settlements, including important open areas;
Trees, ancient woodland, hedgerows, water features such as rivers and other landscape features and their function as ecological networks;
Intrinsically dark landscapes;
Historic landscapes, parks and gardens and features; and
The character of the borough’s rivers and tributaries, including the River Loddon, Test, and Enborne which should be safeguarded.
Development proposals must also respect the sense of place, sense of tranquillity or remoteness, and the quiet enjoyment of the landscape from public rights of way. Development proposals will not be accepted unless they maintain the integrity of existing settlements and prevent their coalescence. Development proposals also need to take account of, but not be limited to, identified features in Neighbourhood Plans, such as views and important open areas.

Where appropriate, proposals will be required to include a comprehensive landscaping scheme to ensure that the development would successfully integrate with the landscape and surroundings. The assessment of character and visual quality and the provision of a landscaping scheme should be proportionate to the scale and nature of the development proposed.

Designation of the North Wessex Downs National Landscape reflects the national importance of that landscape and its setting. Development proposals in the National Landscape or its setting will also be determined in accordance with national planning policy and criteria set out in the North Wessex Downs Management Plan and associated documents, such as position statements.

Landscapes of particularly high value outside of the National Landscape are identified as Valued Landscapes on the Policies map. Development proposals will only be permitted in these areas where they protect and enhance features that contribute to the character, quality and interpretation of these landscapes.

Valued Landscapes are shown on the Policies Maps and are:

Ecchinswell Lowland and Wolverton Lowland;
Pamber Forests and Heaths;
Loddon Floodplain;
Test Valley;
Ellisfield Valleys, and Candover Valley Floor and Lower Valley Sides."
"Protecting and Enhancing the Natural Environment","Policy ENV2: Strategic Gaps","Policy ENV2:  Strategic Gaps

In order to prevent coalescence of built-up areas and to maintain the separate identity of settlements, the generally open and undeveloped nature of the following gaps will be protected:

Basingstoke - Oakley
Basingstoke - Sherborne St John
Basingstoke - Old Basing
Basingstoke/Chineham - Bramley/Sherfield on Loddon
Basingstoke – North Waltham
Basingstoke - Dummer
Tadley-Baughurst
Development in gaps will only be permitted where:

It would not diminish the physical and/or visual separation; and
It would not compromise the integrity of the gap either individually or cumulatively with other existing or proposed development; or
It is proposed through a Neighbourhood Plan or Neighbourhood Development Order, including Community Right to Build Orders."
"Protecting and Enhancing the Natural Environment","Policy ENV3: Thames Basin Heath Special Protection Area","Policy ENV3:  Thames Basin Heaths Special Protection Area

New residential development which is likely to have a significant effect on the ecological integrity of the Thames Basin Heaths Special Protection Area (SPA) will be required to clearly demonstrate that any potential adverse effects are fully mitigated.

For all net additional residential development within a 5km straight line distance of the SPA, relevant mitigation measures will be required in line with the Thames Basin Heaths Delivery Framework. This will include the provision of, or contributions towards, Suitable Alterative Natural Green Space (SANGS), and contributions towards Strategic Access Management and Monitoring (SAMM). Applications for large scale residential development (over 50 new dwellings) within 5-7km of the SPA will be assessed individually and, if needed, bespoke mitigation will be required in accordance with Natural England guidance and successors."
"Protecting and Enhancing the Natural Environment","Policy ENV4: Nutrient Neutrality","Policy ENV4:  Nutrient Neutrality

New dwellings and development resulting in a net increase in population (including student accommodation, and tourist attractions and accommodation) served by a wastewater system that will discharge into the River Test and Itchen catchment (as shown on the Policies Map) will be required to demonstrate nutrient neutrality through the submission of a nutrient budget(s) in order to ensure that there is no adverse impact on the integrity of the following International nature conservation sites:

Solent and Southampton Water Special Protection Area
Solent and Southampton Water Ramsar site
Solent Maritime Special Area of Conservation
Solent and Dorset Coast Special Protection Area
Solent and Isle of Wight Lagoons Special Protection Area
River Itchen Special Area of Conservation
Development will only be permitted where the Council is satisfied that any necessary mitigation, management and monitoring measures are secured in perpetuity as part of the proposal and will be implemented in a timely manner to ensure that there will be no significant effect on the protected sites."
"Protecting and Enhancing the Natural Environment","Policy ENV5: River Loddon, Test and Enborne Corridors","Policy ENV5: River Loddon, Test and Enborne corridors

Development proposals will respect and enhance the special qualities of the river corridors and tributaries within the borough (to include those of the River Itchen) in terms of their landscape quality and the water environment including associated habitats. 

Development that is within or adjacent to the River Loddon, Test or Enborne corridors and their tributaries will be required to conserve and enhance:

The natural characteristics of the river, its springs, headwaters and associated species
Water sources and water quality
The river corridor’s ecosystem, geodiversity and ecological connectivity
The natural functioning of the river through the seasons taking into account:
Biodiversity and geology
Historic significance;
Character and appearance of the landscape;
Ability for maintenance of the watercourse, including flood risk management purposes;
Natural buffers to prevent incidents of polluting run-off and protect biodiversity;
Increased public access to the river corridor and the associated impacts of this increase;
Marginal vegetation and the ecological value of the area including its role as an ecological network;
Aquatic and riparian vegetation of the river environment.
Local winterbournes and other seasonal waterbodies,
The varying size and associated habitats within a corridor which, in order to avoid uncertainty, are defined as the habitats immediately surrounding the waterbody that contribute toward its character and ecology including but not exhaustively flood plains, water meadows, wet woodland, reedbeds, fens, mires, bankside vegetation and other smaller waterbodies within close proximity and/or sharing the same topography and geology.
Major development proposals must demonstrate how they will support the relevant River Basin Management Plan, Green Infrastructure Strategy and any local Catchment Plan and successors. Development proposals will be expected to retain a 10 m wide undeveloped buffer strip alongside Main Rivers (and 5m buffer alongside ordinary watercourses) as set out in the SFRA, and where opportunities exist for the restoration and enhancement of natural elements of the river environment they should be incorporated within the design of new developments."
"Protecting and Enhancing the Natural Environment","Policy ENV6: Biodiversity, Geodiversity and Nature Conservation","Policy ENV6:  Biodiversity, Geodiversity and Nature Conservation

1. Development proposals will avoid harm to biodiversity and/or geodiversity or, where that is proved not possible, be adequately mitigated so that it can be clearly demonstrated that:

There will be no adverse impact on local populations of key species including their nesting, roosting or shelter or other features that directly support their ecology; and
There will be no loss or deterioration of a key priority habitat type, including irreplaceable habitats, their supporting habitats or site fabric; and
There will be no adverse impact on the integrity of designated and proposed internationally, nationally or locally designated sites (including Sites of Importance for Nature Conservation (SINCs) and Local Nature Reserves (LNRs)), including sites that meet the SINC criteria but have not been designated; and
There will be retention of ecological connectivity and the integrity of linkages between designated sites and key habitats including within the wider Nature Recovery Network; and
Appropriate buffer zones can be achieved, where required, between the development proposals and important landscape features. Development proposals must demonstrate adequate protection zones and buffers around hedgerows and other woodland and trees to prevent damage to root systems. Future growth should also be taken into consideration. Where veteran trees or ancient woodlands are located within or adjacent to a development site, suitable information should be submitted setting out the location of all significant ancient woodland or veteran trees (a BS5837 Survey or any subsequent updates). A minimum buffer of 15 metres from the edge of the roots of the trees being assessed will be required between new development and ancient woodland unless specified otherwise by national policy.  For large-scale developments, larger buffers may be required to take account of other impacts, such as the creation of access routes and recreational impacts; and
The mitigation hierarchy has been followed.
The weight given to the protection of nature conservation interests will be proportionate to its international, national or local significance and any designation or protection applying to the site, habitat or species concerned.

2.  Applications for development must include adequate and proportionate information to enable a proper assessment of the implications for biodiversity and geodiversity.

3.  Where development proposals do not comply with the above (avoid, minimise, then restore) and it has been clearly demonstrated that there is no other satisfactory alternative, then as a last resort, compensation measures must be secured to offset the potential impacts on biodiversity in addition to achieving the required net gain.

4.  For proposals that directly and indirectly affect nationally protected sites (Sites of Special Scientific Interest) and irreplaceable habitats, it must be demonstrated that the need for, and the benefits arising from the development, clearly outweigh the harm.  This approach will only be considered to be acceptable where exceptional circumstances can be demonstrated.  The need to achieve the required net gain will remain.

5.  Development proposals will be required to include proportionate measures to contribute to biodiversity improvement and help address the council’s declared Ecological Emergency through the creation, restoration, enhancement and management of habitats and ecological features, including measures that help link key habitats and assist the ecological potential of the site to adapt to climate change. Proposals should seek to provide environmental gains through the use of nature-based solutions and taking account of natural capital and the associated ecosystem services.

For qualifying development proposals, a measurable biodiversity net gain (using the Statutory Biodiversity Metric) of at least 10% will be required to be demonstrated, which shall be maintained for a minimum period of 30 years. This must be delivered within the site boundary wherever possible or, where agreed, on off-site land within the Borough within the applicant’s ownership or on land that supports strategic nature recovery initiatives, such as Local Nature Recovery Strategies (LNRSs), priorities within the Landscape and Biodiversity Strategy (and subsequent updates), or where identified by the Council as having ecological significance.
Where evidence exists of deliberate degradation of any of the habitats on a site prior to the application process, it will be assumed, for the purposes of calculating Biodiversity Net Gain, that the condition of the habitat concerned is the highest potential condition.  Where ecological data for the site exists and is accessible, which can confirm the habitats present and/or condition, this will be used as the baseline.
6. Approaches to secure measurable improvements could be achieved through:

Delivery within the following strategic nature recovery initiatives:
Biodiversity Opportunity Areas (BOAs);
Biodiversity Priority Areas (BPAs) of the River Loddon and River Test as identified in the council’s Green Infrastructure Strategy (and subsequent updates);
Relevant River Catchment Management Plans within the Borough;
Existing and forthcoming network opportunity mapping and Local Nature Recovery Networks; and
Other local strategic projects identified by the council where appropriate;
Priorities within the Landscape and Biodiversity Strategy (and subsequent updates).
On-site and/ or off-site provision linked to new development in accordance with the council’s adopted green space standards.
7. Where development is exempt from Biodiversity Net Gain, and where those developments will be making an impact on biodiversity, development proposals will be expected to provide measurable improvements."
"Protecting and Enhancing the Natural Environment","Policy ENV7: Green and Blue Infrastructure","Policy ENV7:  Green and Blue Infrastructure

Development proposals will only be permitted provided that:

It can be demonstrated by an assessment appropriate to the nature of the proposal (such as the Building with Nature accreditation) that it protects and enhances the integrity, quality, connectivity and multi-functionality of the existing green and blue infrastructure network and individual sites; and
It enhances green and blue infrastructure through provision within the site, and supports the guidance, standards and delivery of the Green Infrastructure Strategy (and any updates); and
Any adverse impacts on the green and blue infrastructure network, as well as identified deficiencies, are fully mitigated through the provision of green, or where appropriate, blue infrastructure on site or, through appropriate off-site compensatory measures within the borough where the needs of new residents can be met without harm to the needs of existing residents; and
Where new green and blue infrastructure is provided within new development, suitable arrangements are in place for its future funding, maintenance, management and delivery alongside the requirements of the proposed development.
The council will support proposals which improve links and remedy identified deficiencies in the green and blue infrastructure network in accordance with the council’s Green Infrastructure Strategy (2018, or any subsequent updates).

The council will seek to protect and enhance the quality and extent of green spaces and public rights of way, including public open space and access to the countryside. Proposals for the redevelopment of green spaces will not be permitted unless it can be clearly demonstrated that:

Replacement areas will be at least equivalent in terms of quality, quantity and accessibility, and there will be no overall negative impact on the provision of green infrastructure; or
A robust assessment clearly demonstrates that the space is surplus to local requirements and will not be needed in the-long term in accordance with the council’s local standards; or
The proposal is for alternative recreational provision which meets evidence of local need in such a way as to outweigh the loss and includes multi-functional space that delivers a range of benefits including connectivity, reduced flood risk and urban cooling.
Development proposals will be permitted where it can be clearly demonstrated that

green infrastructure and where appropriate blue infrastructure can be provided and phased to support the requirements of proposed development and be in accordance with the council’s adopted green space standards. Green space and equipped play will normally be provided on-site, as set out in criterion c).

All proposals for major development will be required to provide a high standard of design for green and blue infrastructure. New developments should also, where relevant, be considered against best practice including the National Design Guide, Building with Nature Standards and the National Framework of Green Infrastructure Standards."
"Protecting and Enhancing the Natural Environment","Policy ENV8: Local Green Space","Policy ENV8:  Local Green Spaces

Development on Local Green Spaces, as shown on the Policies Map and listed below, or designated through Neighbourhood Plans (including those made after the date of the Local Plan’s adoption), will only be acceptable in the following exceptional circumstances:

The provision of appropriate facilities (in connection with the existing use of land or a change of use) for outdoor sport, outdoor recreation, cemeteries and burial grounds, and allotments; as long as the facilities preserve the openness of the Local Green Space and do not conflict with its purpose and enjoyment thereof;
The extension, alteration or replacement of a building provided that it does not result in disproportionate additions over and above the size of the original building;
Other forms of development that may be appropriate provided they preserve the openness of the Local Green Space and do not conflict with the purposes of its designation are:

Engineering operations
Required local transport infrastructure
The re-use of buildings provided that the buildings are of permanent and substantial construction
Material changes in the use of land (such as changes of use for outdoor sport or recreation, or for cemeteries and burial grounds); and
Development, including buildings, brought forward under a Community Right to Build Order or Neighbourhood Development Order.
Local Green Spaces designated by Local Plan:

Reference
Site

 
LGS006
Tollhouse Meadow, Chineham

 
LGS009
Land North of the Cricket Ground, Whitchurch
LGS010

 
Cricket Ground, Whitchurch
LGS015

 
Greenspace adjacent to Amport Road, Basingstoke
LGS016

 
Broadhurst Grove, Lychpit
LGS017

 
Saxon Way, Lychpit
LGS020

 
Mapledurwell Pond
LGS021

 
Up Nately Pond
LGS022

 
St Marks Meadow, Basingstoke
LGS024

 
The Lime Pits, Basingstoke
LGS026

 
St Mary’s Avenue open space, Bramley
LGS027

 
Yew Tree Close open space, Bramley
LGS028

 
Brighton Hill Park (adjacent ASDA)
LGS029

 
Brighton Hill Playing Fields
LGS030

 
Alencon Link (Pocket Park), Basingstoke
LGS031

 
Culver Road, Play Area at the side of 36 Culver Road, Basingstoke
LGS032

 
Goodman Close, Play Area to rear of 22 Goodman Close, Basingstoke
LGS033

 
King George V Playing Fields, Basingstoke
LGS034

 
Knight Street play area, Basingstoke
LGS035

 
Lower Brook Street open space (pocket park), Basingstoke
LGS036

 
Portacre Rise open space, Basingstoke
LGS037

 
Victory Park, Basingstoke
LGS038

 
Sinclair Drive open space, Basingstoke
LGS040

 
Park View open space (extension to Stratton Park), Basingstoke
LGS041

 
CCGA, Chineham
LGS042

 
Taylors Farm Community Centre Playing Fields, Chineham
LGS043

 
Eastrop Park, Basingstoke
LGS044

 
Glebe Gardens, Basingstoke
LGS045

 
War Memorial Park and Old Common, Basingstoke
LGS046

 
Cranbourne Road / Kingsmill Road open space, Basingstoke
LGS047

 
Beggarwood Park, Basingstoke
LGS048

 
Danebury Road open space, Basingstoke
LGS049

 
Hatch Warren Community Centre Playing Fields, Basingstoke
LGS050

 
Down Grange Playing Fields, Basingstoke
LGS051

 
Old Down Park, Basingstoke
LGS052

 
Stratton Park, Basingstoke
LGS053

 
The Orchard, Kendall Gardens, Basingstoke
LGS055

 
Queen Mary Avenue open space (adjacent to The Vyne School), Basingstoke
LGS056

 
Sherborne Road Playing Field, Basingstoke
LGS057

 
Shooters Road open space (adjacent to The Vyne School) Basingstoke
 
LGS058

 
Whiteditch Playing Fields, Basingstoke
LGS059

 
London Road, Overton
LGS060

 
Burney Bit open space, Pamber
LGS061

 
Chineham Park
LGS062

 
Pershore Road, Basingstoke
LGS063

 
Popley Community Park
LGS064

 
Carpenters Down Playing Fields, Basingstoke
LGS065

 
Tewkesbury Close open space, Basingstoke
LGS066

 
Oxford Way / Carter Drive open space, Basingstoke
LGS067

 
Rooksdown Park, Basingstoke
LGS068

 
Russell Howard Park, Basingstoke

 
LGS069

 
Southdown Road, Tadley
LGS070

 
Caesars Way open space and Witan Court play area, Whitchurch
 LGS071

 
Daniel Park Whitchurch
LGS072

 
Winklebury Playing Fields, Basingstoke
LGS076

 
Campbell Road, Bramley
LGS077

 
Community meadow, Kingsclere Road, Overton
LGS078

 
Edward Kersley Playing fields, Overton
LGS079

 
Football ground, Berrydown playing fields, Overton
LGS080

 
Foxdown play area, Overton
LGS081

 
Oaktree Park, Overton
LGS082

 
Overton Hill, Overton
LGS083

 
Overton Recreation Centre, Overton
LGS085

 
Playing field and skate park, Sapley Lane, Overton
LGS086

 
Poultons Road, Overton
Existing Local Green Spaces designated in Neighbourhood Plans:

Ashford Hill with Headley Neighbourhood Plan (2022-2029)

Ashford Hill Recreation Ground
Headley Recreation Ground
Mill Green Common Land
Sports Pitches and Common Land to the North of Ashford Hill
Oakfield Open Space
Headley Ford
Hollybush Small Open Space
Harrow Drive Open Space
Bramley Neighbourhood Plan (2011-2029)

Moat Close
Clift Meadow Park
Bramley Green
Land north of Deerfield Park
Land east of Campbell Road
Land off Farriers Close and Lane End
Village Green
Parish Football Ground
Burghclere Neighbourhood Plan (2011-2029, as modified)

Memorial Garden, Portal Hall Gardens
War Memorial Green
Green between Church of the Ascension and the School House
Old Railway Line (north of Harts Lane)
East Woodhay Neighbourhood Plan (2022-2029)

Parish Field including Brownies Corner
Woolton Hill Recreation Ground
St Thomas’ Churchyard
St Martin’s Churchyard
Woolton Hill Junior School playing fields
St Martin’s CoE School playing fields
Meadowbrook Community Land and ‘Kickabout’ area
Meadowbrook Strip by Tile Barn Row
Harwood Rise Green Space
Heath End Recreation Ground
Leased land of East Woodhay Cricket Club
East End Triangle
Ecchinswell, Sydmonton and Bishops Green Neighbourhood Plan (2021-2039)

Eagle Road Recreation Area, Bishops Green
Beech Road Recreation Area, Bishops Green
Harrier Road open space, Bishops Green
Ecchinswell pond, Ecchinswell
Methodist Church Yard, Ecchinswell
St Lawrence’s Church Yard, Ecchinswell
Ecchinswell Village Hall Play Park and Recreation Ground
Ecchinswell War Memorial area
Old Church Yard, Ecchinswell
Digweeds, Ecchinswell
Kingsclere Neighbourhood Plan (2011-2029)

West of Keeps Mead & Garrett Close
Longcroft Road playground
Community Orchard site, Pony Paddocks & allotments
Strokins Rd playground
Holding Field
Basingstoke Road
The Dell recreation ground
Pound Green
The Malthouse Open Space behind St Mary’s Church
Newbury Road/Cedar Drive
The Fieldgate Centre
Oakley Neighbourhood Plan (2011-2029)

A1 Village Pond
A2 Small village pond
B1 Kennet Way play area
B2 Newfound sports ground
B3 Peter Houseman ground
B4 Beach park
C1 Cowdown copse
C2 St John’s copse
C3 Pathway from St John’s Road
C4 Water ridges chalk heap
Old Basing and Lychpit Neighbourhood Plan (2015-2029)

Basingstoke Canal
Hodds Lane Copse
Sherfield on Loddon Neighbourhood Plan (2011-2029)

Allotments
Village Green North
Village Green Middle
Village Green South of Plantation
Village Green adjacent to Court Farm
Village Green South
Slip Road Triangle
A33 Triangle
A33 Bund
Village Green War Memorial
Village Green - Crossroads Triangle
Village Green - NE Bramley Road
Wootton St Lawrence Neighbourhood Plan (2016-2029)

Recreation ground
Ramsdell playing field"
"Protecting and Enhancing the Natural Environment","Policy ENV9: Water Quality","Policy ENV9:  Water Quality

The council will work in partnership  to protect, manage and improve the water quality of the borough’s water environment particularly the quality of water bodies which are currently failing to meet the Water Framework Directive (WFD) requirements as set out in the associated River Basin Management Plan (RBMP) documents. In the interests of positively managing the water quality of the borough, new development should incorporate sustainable drainage systems .

The quality of the water environment is monitored as part of RBMPs and the Environment Agency’s monitoring process, the results of which will be reported through the council’s AMR. Should the monitoring indicate that there is likely to be a deterioration in an individual element’s band status of the borough’s water body(ies); Policy SPS7 will prevent further development which exacerbates such deterioration within the relevant catchment and intervention mechanisms will be required to improve the quality of the relevant catchment prior to the release of any further allocated sites or granting of planning permissions.

In order to protect and improve water quality, potentially contaminating development proposals on principal aquifers or within Source Protection Zones will need to demonstrate that groundwater and surface water is protected to prevent a deterioration of water quality and pollution of the water source.

Development proposals adjacent to a watercourse will incorporate measures to protect the watercourse in accordance with the Green Infrastructure Strategy and the actions of the River Basin Management Plans. Developments should include measures that will improve the water environment unless it is not viably or technically possible to do so.

Where new water supply or wastewater infrastructure is required or proposed in support of new development, the development will be phased alongside the provision of the infrastructure to ensure:

Compliance with the Habitats Regulations;
That there is no deterioration in the status of water bodies which might impact adversely on Water Framework Directive requirements; and
The avoidance or mitigation of any other adverse impacts, including but not limited, to ensuring resilience in the water supply to both existing and new residents.
Where there is a capacity constraint the council will, where appropriate, apply grampian conditions to any approval to ensure that necessary infrastructure upgrades are delivered ahead of the occupation of the relevant phase of development."
"Protecting and Enhancing the Natural Environment","Policy ENV10: Managing Flood Risk","Policy ENV10:  Managing Flood Risk

The sequential approach to development, as set out in national guidance, will be applied across the borough, taking into account all sources of flooding as contained within the council’s Strategic Flood Risk Assessment (SFRA). Development within areas of flood risk from any source of flooding[1] will only be acceptable if it is clearly demonstrated that it is appropriate at that location, development will be safe from flooding and not increase the risk of flooding elsewhere, and that there are no suitable available alternative sites at a lower flood risk. Development proposed in an area at risk of flooding will be required:

To be supported by a Flood Risk Assessment[2] (FRA) (subject to the triggers in national guidance and set out below);
To clearly demonstrate that the benefits of the development to the community, outweigh the risk of flooding when applying the sequential test and exception test (where required);
When applying the sequential test, to clearly demonstrate that the impacts of climate change are taken into account as identified in the SFRA (and in any subsequent information provided by the Environment Agency or LLFA);
To provide a safe access and egress route up to a 1 in 100 year flood event plus climate change allowance; and
To attenuate surface water run-off on the site so that the run-off rate is no greater than existing for a greenfield site or, if the site is previously developed, development actively reduces run-off rates and volumes as close as practicably possible to greenfield rates.
The triggers for an FRA are:

All sites of 1 ha or more in Flood Zone 1;
All Sites in Flood Zone 2 or 3;
Land which has been identified by the Environment Agency as having critical drainage problems
Land identified in a SFRA as being at increased flood risk now and in the future
Land that may be subject to other sources of flooding where its development would introduce a more vulnerable use [3]
Sites that have a record of localised or groundwater flooding from the SFRA (and any subsequent records of flooding reported to the Lead Local Flood Authority or water company);
Sites in Local critical drainage areas and upstream of Local critical drainage areas .
All planning applications for major development are required to ensure that Sustainable Drainage Systems (SUDs) are used for the management of surface water unless demonstrated to be inappropriate. All new developments in areas at risk of flooding must give priority to the use of sustainable drainage systems. Details of the design, construction, maintenance, operation and adoption of the SUDs over the lifetime of the development (a SuDS Strategy) shall be included with the proposal and implemented accordingly.

Any development proposed within a flood risk priority area identified in Hampshire County Council’s Catchment Management Plans, will be expected to comply with the policy statements in those Plans (and any updates and future action plans). Opportunities to reduce the causes and impacts of flooding within the borough through development should be taken.

Developers will be expected to engage early with the relevant water company to ensure that the necessary infrastructure is delivered alongside the development."
"Protecting and Enhancing the Natural Environment","Policy ENV11: Energy standards","Policy ENV11:  Energy Standards

1) Energy hierarchy

All development proposals will reduce carbon emissions in accordance with the following energy hierarchy (in order of preference):

Minimise energy use through the layout, orientation and design of buildings;
Maximise the fabric efficiency of buildings, and design and specify efficient building systems with fossil free heating; and
Maximise on-site renewable electricity and energy storage.
Development proposals will not use fossil fuels burnt on-site and will minimise embodied and whole-life carbon.

Proposals for:

All new dwellings (including residential conversions); and
New non-residential development over 100sqm gross floorspace (including conversions and extensions) will submit an Energy Statement, which is proportionate to the scale and nature of the application, to demonstrate how these requirements have been met.
Householder development and non-residential developments of less than 100 sqm gross floorspace will not be required to submit an Energy Statement but will be expected to incorporate rooftop photovoltaics unless it can be demonstrated that it is not technically feasible, or not suitable for any other well-justified reason.

2) Net zero homes

All newly constructed homes will (based on predicted energy modelling methodologies and tools such as Passivhaus Planning Package (PHPP) or CIBSE TM54) have:

A space heating demand of no more than 15kWh/m2/yr; and
An Energy Use Intensity (EUI) of no more than 35kWh/m2/yr.
These energy demand standards must be met unless it can be robustly demonstrated through the design process that they would not be technically feasible or would result in a development that would be harmful to its setting or the character of the wider area.

In order to achieve a net zero operational energy balance, the annual amount of renewable energy generated will match or exceed the predicted total energy use of the building.  Where it can be robustly demonstrated that it would not be technically feasible or would cause harm to the setting or the character of the wider area to provide enough renewables on the building to match its total energy use, a net zero operational energy balance will be achieved through the provision of new, additional renewable energy capacity elsewhere on the site or, as a last resort, through payment into the council’s offset fund.

3) Reducing embodied carbon

Developments of 100 homes or more, and non-residential development of 10,000sqm or more, should calculate their embodied carbon emissions through a nationally recognised methodology and demonstrate the actions being taken to reduce these.

4) Improvements to existing buildings

The improvement and retrofitting of existing buildings will be supported where they comply with other policies in the Plan. When considering planning applications, weight will be given to significant improvements to the fabric efficiency of existing buildings."
"Protecting and Enhancing the Natural Environment","Policy ENV12: Sustainable Design and Construction requirements","Policy ENV12:  Sustainable Design and Construction and Adaptation

Development will be permitted where it minimises resource use and includes measures to mitigate and adapt to climate change.

Proposals for:

All new dwellings (including residential conversions); and
New non-residential development over 100sqm gross floorspace (including conversions and extensions) will submit a Sustainability Statement to demonstrate how they will:
Minimise construction waste, including designing out waste during the design stage, and reusing materials (including soil) where possible;
Reduce waste from occupiers by providing facilities for recycling and composting where achievable;
Minimise water use including through the use of sustainable water management solutions such as sustainable drainage systems, greywater recycling, green roofs and/or rainwater harvesting systems, where achievable and energy and cost effective.
Include site and building-level adaptation measures that ensure resilience to future climate change impacts and provide for the comfort, health, and wellbeing of occupiers and the surrounding environment over the lifetime of the development. These measures should be integral to the layout and design of new development and take into account the vulnerability of the building occupants.
Sustainability and water efficiency standards

New-build non-residential developments of 1000sqm gross floorspace or more will be required to achieve a BREEAM standard of ‘Excellent’ or ‘Outstanding’. Proposals must achieve at least six credits for energy efficiency (Category ENE01) and five credits for water consumption (Category WAT01) unless these can be robustly demonstrated to not be technically achievable or viable.

New homes (including replacement dwellings) will be required to meet a water efficiency standard of 110 litres or less per person per day. Certification of new homes against the BRE Home Quality Mark is strongly encouraged."
"Protecting and Enhancing the Natural Environment","Policy ENV13: Renewable and low carbon energy","Policy ENV13:  Renewable and Low Carbon Energy Generation

Development proposals for the generation of energy from renewable and low carbon resources will be supported and encouraged, where their impact is, or can be made, acceptable.

In determining applications for renewable and low carbon energy, and associated infrastructure, the following issues will be balanced:

the contribution of the proposals, in light of the Council’s pledge to be carbon neutral by 2030, to cutting greenhouse gas emissions, decarbonising energy systems and improving air quality.
the environmental, economic and social impacts of the scheme, together with any cumulative issues, including in respect of air quality, biodiversity and geological conservation, the loss of high grade agricultural land, flood risk, the historic environment including heritage assets, the landscape and visual appearance (including impacts upon the character, visual quality and setting of the National Landscape), traffic generation, pollution including noise, the local highway network and water quality. The council will take a strategic view of applications, to avoid clusters where inappropriate. 
the impact on users and residents of the local area, including where relevant, shadow flicker, air quality, vibration and noise.
the direct benefits to the area and local community.
Subject to complying with the above criteria, proposals will be permitted where they add renewable energy to existing buildings and structures, or where they repower or extend the life of an existing renewable energy site.

The policies map identifies areas that are suitable for solar and wind development (these will be identified post-Regulation 18).

In the areas identified as suitable for ground-mounted solar, proposals will be assessed against criteria a)-d) above and there will be an increased likelihood that they will be permitted. Outside these areas, proposals will be assessed against criteria a)-d) and applicants will need to clearly justify their proposals, including demonstrating that the site would meet the criteria that the council had used to identify suitable areas (these will be set out when suitable areas have been identified, post-Regulation 18).

Development involving one or more wind turbines will only be permitted in areas identified as suitable for wind energy on the policies map, in a neighbourhood plan or by other means identified in the NPPF (so long as this remains a requirement of national policy). In these areas, proposals will be assessed against criteria a)-d), having particular regard to the wind turbines’ scale and any landscape impacts. Proposals for wind must demonstrate that, following consultation, the planning impacts identified by affected local communities have been appropriately addressed and therefore the proposals have their backing.

Proposals will need to demonstrate their links to the existing infrastructure, such as the road network or national grid.

The council will support neighbourhood planning groups and/or community-led energy project teams with identifying suitable locations for renewable and low carbon technologies that could be brought forward in neighbourhood plans or as part of a community-led energy scheme.

Significant weight will be given to community led energy schemes where evidence of community support can be demonstrated, with administrative and financial structures in place to deliver/manage the project and any income from it.

District heating networks

The council will support and encourage the development of heat networks, where suitable. Where a development site is close to a source of waste heat or an existing heat network, it will be required to demonstrate that it has considered all opportunities to connect to it.

Applications for development that would result in significant discharge of waste heat should be approved only where connection to an existing or new heat network, and / or co-location with development that will utilise the waste heat has been secured.

Battery storage

Proposals for battery storage will be supported where they comply with the criteria in this policy and other relevant Development Plan policies, and where an emergency plan has been provided for the facility to address the risk of fire.

Reinstatement of sites

Provision should be made for the removal of the facilities and reinstatement of the site should it cease to be operational."
